;Name;Year;Available.Pedigree
1;V0001;2001;V0317 X NA
2;V0002;1893;NA X V0417
3;V0003;1844;NA X NA
4;V0004;2013;NA X NA
5;V0005;1966;V0332 X NA
6;V0006;2017;V1193 X V0024
7;V0007;1951;NA X NA
8;V0008;2008;NA X NA
9;V0009;1967;NA X NA
10;V0010;1994;V1246 X V1163
11;V0011;1974;V1042 X NA
12;V0012;1995;NA X V1217
13;V0013;2012;V0537 X NA
14;V0014;2012;NA X V0709
15;V0015;1929;NA X NA
16;V0016;1976;V0923 X NA
17;V0017;2008;NA X NA
18;V0018;2017;NA X V1236
19;V0019;2009;NA X NA
20;V0020;2013;V1148 X NA
21;V0021;2018;NA X NA
22;V0022;1928;NA X NA
23;V0023;1951;V0974 X V1138
24;V0024;2000;V0455 X V1085
25;V0025;2009;NA X NA
26;V0026;1967;V0737 X NA
27;V0027;1750;NA X NA
28;V0028;2004;NA X NA
29;V0029;2002;V0710 X V0800
30;V0030;1900;NA X NA
31;V0031;2010;NA X NA
32;V0032;1929;V0719 X V0387
33;V0033;1996;V0429 X V1033
34;V0034;1800;NA X NA
35;V0035;2006;V0619 X NA
36;V0036;1978;NA X NA
37;V0037;2006;V1217 X NA
38;V0038;2010;NA X V1247
39;V0039;1931;V0956 X V0417
40;V0040;1938;V1248 X NA
41;V0041;1935;V0058 X NA
42;V0042;1968;NA X NA
43;V0043;1945;NA X NA
44;V0044;1999;V1060 X V0868
45;V0045;2020;NA X V1190
46;V0046;2004;V0185 X V1033
47;V0047;1947;NA X V0694
48;V0048;2009;V0184 X V0717
49;V0049;1957;NA X V0353
50;V0050;2004;NA X V0317
51;V0051;1930;NA X V1058
52;V0052;2009;NA X V0072
53;V0053;1979;NA X V0202
54;V0054;2001;NA X NA
55;V0055;1993;V1220 X V0005
56;V0056;1893;V1245 X NA
57;V0057;2014;V1015 X V0374
58;V0058;1908;NA X NA
59;V0059;2009;NA X NA
60;V0060;1974;V0202 X V0560
61;V0061;2016;NA X NA
62;V0062;2004;NA X NA
63;V0063;1980;V0785 X NA
64;V0064;1973;NA X NA
65;V0065;2014;V0986 X NA
66;V0066;1984;V0336 X NA
67;V0067;1884;NA X NA
68;V0068;2004;V0356 X NA
69;V0069;2009;V1163 X V0053
70;V0070;1750;NA X NA
71;V0071;1850;NA X NA
72;V0072;1992;V1144 X V0875
73;V0073;2004;NA X V0209
74;V0074;2003;V0697 X NA
75;V0075;2012;V0983 X NA
76;V0076;1960;NA X V0938
77;V0077;2011;V1104 X V0871
78;V0078;1984;V1163 X NA
